1371,1,Jackson Yang,BC10895,9,0,NR,1000
1296,2,Saurabh Pandiar,BC17070,10,2,NR,1000
1264,3,Nik Cruz,BC3960,9,2,NR,1000
1257,4,Lyem Fedoretz,BC13763,8,1,NR,1000
1231,5,Nicholas Chiu,USA00021,5,1,NR,1000
1201,6,Gurbaksh Saini,ON41508,5,1,NR,1000
1189,7,Jackie Wu,BC16206,4,0,NR,1000
1181,8,Manmeet Singh,BC16926,6,1,NR,1000
1157,9,Kevin Luo,BC8266,6,2,NR,1000
1131,10,Connor Louie,BC10576,9,6,NR,1000
1127,11,David Purnomo,BC17159,3,1,NR,1000
1122,12,Kwun Ho So,BC12748,7,4,NR,1000
1116,13,Joshua R Yan,BC9134,3,1,NR,1000
1110,14,Joshua Liu,BC1815,3,1,NR,1000
1110,15,Victor Ho,MB09472,3,1,NR,1000
1109,16,Angus Li,BC3939,3,1,NR,1000
1087,17,Mahdi Amahdi,BC15814,4,2,NR,1000
1086,18,Robert Shi,BC13617,3,1,NR,1000
1082,19,Uday Bharti,BC15951,3,1,NR,1000
1073,20,Lai Yin Chung,BC17060,3,2,NR,1000
1071,21,Darren Wang,BC13934,2,1,NR,1000
1071,22,Jason Yang,BC12317,2,1,NR,1000
1067,23,Jack Chen,BC10265,4,3,NR,1000
1065,24,Colin Wang,BC12492,3,2,NR,1000
1061,25,Yancong Li,BC19032,2,1,NR,1000
1054,26,Brian Xu,BC17888,2,1,NR,1000
1053,27,Albert Liang,BC11047,2,1,NR,1000
1050,28,David Yuan,BC1117,2,1,NR,1000
1048,29,Dustin Dennison,ID22T02,2,1,NR,1000
1046,30,Hailegebriel Kebede,BC12752,2,2,NR,1000
1042,31,Tymmond Thai,BC12178,2,1,NR,1000
1040,32,Roger Quach,BC17133,3,2,NR,1000
1037,33,Christopher Cui,BC15023,2,1,NR,1000
1035,34,Adrian KH Wong,BC12183,2,2,NR,1000
1031,35,Connor O'Reilly,BC16854,3,2,NR,1000
1027,36,Ethan Yen,BC14739,1,1,NR,1000
1025,37,Karan Singh,BC18501,1,1,NR,1000
1019,38,Anubhav Gupta,BC17317,1,1,NR,1000
1019,39,Ryan Chen,BC12466,1,1,NR,1000
1015,40,Weilin Yuan,BC17334,1,1,NR,1000
1013,41,Ryan Liu,BC10841,1,1,NR,1000
1013,42,Hardeep Singh,BC13447,1,1,NR,1000
1012,43,Will Bui,BC13605,2,2,NR,1000
1005,44,Ruixi Zhang,BC14918,1,1,NR,1000
1003,45,Ryan Yang,BC11319,1,1,NR,1000
1001,46,Jashan Deep Singh,BC13551,1,1,NR,1000
1001,47,Chris Yu,BC19510,2,2,NR,1000
1000,48,Kelsey Liang,BC13170,1,1,NR,1000
1000,49,Ethan Cheung,BC9676,1,1,NR,1000
1000,50,Jasper Kong,BC16320,1,1,NR,1000
1000,51,Brian Kwok,BC3176,1,1,NR,1000
1000,52,Kevin Chau,BC6325,1,1,NR,1000
1000,53,Dwayne Da Silva,BC18335,1,1,NR,1000
1000,54,Mitchell Purnomo,BC17160,1,1,NR,1000
1000,55,Chung Hong Siu,NB03054,1,1,NR,1000
999,56,Joseph Tan,BC16197,2,2,NR,1000
998,57,Colt Love,BC12636,4,4,NR,1000
998,58,David Kan,BC6621,1,1,NR,1000
997,59,Jason Deimos,BC17619,1,1,NR,1000
995,60,Jason Chou,AB04324,1,1,NR,1000
995,61,Andrew Tan,BC17585,1,1,NR,1000
994,62,Kingsley Lu,BC10696,1,1,NR,1000
994,63,Fengjie Hu,BC16226,1,1,NR,1000
994,64,Jack Saunders,AB10192,1,1,NR,1000
993,65,Sarabpreet Sodhi,BC17850,1,1,NR,1000
993,66,Min Khian Tan,BC0301,1,1,NR,1000
992,67,Franklin Chen,BC17865,2,2,NR,1000
992,68,Jithin Prakash,BC15890,1,1,NR,1000
992,69,Kevin Phuc,BC14547,1,1,NR,1000
992,70,Kevin Huang,BC17809,1,1,NR,1000
992,71,Shivom Chaudhary,BC17271,1,1,NR,1000
992,72,Jonathan Barton,BC6967,1,1,NR,1000
992,73,John Keith,BC17576,1,1,NR,1000
992,74,Rafael Justin,BC17343,1,1,NR,1000
986,75,Jaden Thom,BC15336,1,1,NR,1000
985,76,Frank Nguyen,BC17406,2,2,NR,1000
985,77,Yuyang Luo,ON37820,1,1,NR,1000
985,78,Paul Cho,BC3748,1,2,NR,1000
979,NR,Fenglin Hu,BC16203,0,1,NR,1000
972,79,YiYang Jiang,ON13537,3,3,NR,1000
970,80,John Ou,BC16127,3,4,NR,1000
965,NR,John Wang,BC12061,0,1,NR,1000
963,81,Fong-Ming Chow,BC16012,1,2,NR,1000
961,NR,Animesh Sakorikar,ID22T04,0,1,NR,1000
957,NR,Chris Wan,BC3456,0,1,NR,1000
957,NR,Parmeet Sachdeva,BC15345,0,1,NR,1000
957,NR,Basil Kottappurath,BC16263,0,1,NR,1000
957,NR,Jiayi Li,BC12459,0,1,NR,1000
956,NR,Jarin Davison,BC3306,0,1,NR,1000
